Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
746,0.075,0.00843,0.00471,0.00718,0.01172,0.01966,0.03127
767,0.077,0.00731,0.00462,0.00697,0.01147,0.01925,0.03062
788,0.079,0.00684,0.0044,0.0067,0.01104,0.0186,0.0297
810,0.081,0.007,0.00414,0.00641,0.0106,0.01794,0.02876
833,0.083,0.00651,0.00397,0.00613,0.01025,0.01745,0.02807
857,0.086,0.00664,0.00391,0.00601,0.01001,0.01711,0.02752
881,0.088,0.00633,0.00383,0.00594,0.00981,0.01678,0.02699
906,0.091,0.00623,0.00374,0.00574,0.00957,0.01636,0.02641
932,0.093,0.0066,0.00366,0.00563,0.00938,0.01603,0.02588
959,0.096,0.00912,0.00348,0.0054,0.00908,0.01553,0.02526
987,0.099,0.00732,0.00344,0.00531,0.00889,0.01526,0.02491
1016,0.102,0.00633,0.00336,0.00519,0.00869,0.01493,0.02436
1046,0.105,0.0062,0.0032,0.00497,0.00835,0.01447,0.02377
1078,0.108,0.00618,0.00311,0.00486,0.0082,0.01415,0.02334
1111,0.111,0.00822,0.00295,0.0046,0.00786,0.01369,0.02271
1145,0.115,0.00953,0.00287,0.00448,0.00767,0.01341,0.02223
1181,0.118,0.00644,0.00279,0.00438,0.00752,0.01321,0.02189
1218,0.122,0.00578,0.0027,0.00424,0.00728,0.0129,0.02147
1257,0.126,0.00586,0.00259,0.00411,0.00713,0.01264,0.02118
1297,0.13,0.00579,0.00249,0.00398,0.00693,0.01235,0.02074
1339,0.134,0.00545,0.00247,0.00392,0.00679,0.01214,0.02051
1383,0.138,0.00539,0.0024,0.00384,0.00669,0.01197,0.02028
1429,0.143,0.00535,0.00237,0.00379,0.00659,0.0119,0.01998
1477,0.148,0.0053,0.00231,0.00371,0.00649,0.01172,0.01969
1500,0.15,0.00529,0.00232,0.0037,0.00645,0.01163,0.01954
2000,0.2,0.00515,0.00195,0.00322,0.00581,0.01086,0.01762
2500,0.25,0.00523,0.00189,0.00316,0.00576,0.01091,0.01747
3000,0.3,0.00545,0.00183,0.00312,0.00586,0.01132,0.01777
130,0.13,0.01475,0.01122,0.01787,0.03057,0.05225,0.08373
133,0.133,0.02002,0.01189,0.01897,0.03203,0.0545,0.08634
136,0.136,0.01794,0.01263,0.02004,0.03369,0.05679,0.08997
139,0.139,0.01828,0.0135,0.02115,0.03525,0.05914,0.09256
142,0.142,0.01597,0.01423,0.02203,0.03643,0.06053,0.09467
145,0.145,0.01703,0.01472,0.02266,0.0373,0.06199,0.09615
