Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
163,42.38,0.01354,0.01021,0.01654,0.02842,0.04903,0.07853
205,53.3,0.01899,0.01456,0.02328,0.03965,0.06715,0.10638
258,67.08,0.02572,0.01712,0.02704,0.04473,0.07396,0.1142
325,84.5,0.02167,0.01674,0.02554,0.04121,0.06651,0.10189
409,106.34,0.018,0.01379,0.0208,0.0333,0.05374,0.08159
515,133.9,0.013,0.01059,0.01598,0.02559,0.04129,0.06326
783,203.58,0.00702,0.00597,0.00919,0.01514,0.02527,0.0397
1191,309.66,0.00608,0.00346,0.00548,0.00933,0.01617,0.02636
1500,390,0.00531,0.00284,0.00458,0.00791,0.01403,0.02335
2000,520,0.00583,0.00256,0.00418,0.00737,0.01331,0.02235
2500,650,0.00655,0.00267,0.00435,0.00767,0.01384,0.02324
3000,780,0.00738,0.00287,0.00468,0.00825,0.0149,0.02501
130,36.4,0.01124,0.00846,0.01364,0.02354,0.04061,0.06552
166,46.48,0.01374,0.01039,0.01675,0.02891,0.04965,0.07983
212,59.36,0.01944,0.01449,0.02326,0.03945,0.06682,0.10544
271,75.88,0.02375,0.01662,0.02609,0.04297,0.07072,0.10959
346,96.88,0.01998,0.01555,0.02372,0.03828,0.06178,0.09379
442,123.76,0.01617,0.01241,0.01873,0.02998,0.04838,0.07412
565,158.2,0.0118,0.00921,0.01397,0.02246,0.03661,0.05666
882,246.96,0.00684,0.00502,0.00782,0.01299,0.02189,0.03496
1377,385.56,0.00534,0.00303,0.00482,0.00835,0.01467,0.0243
1500,420,0.0053,0.00286,0.00457,0.00796,0.01405,0.02341
2000,560,0.00584,0.00261,0.00423,0.00742,0.01334,0.0225
2500,700,0.00658,0.00271,0.00439,0.00771,0.01393,0.02339
3000,840,0.00742,0.00294,0.00475,0.00835,0.01507,0.02531
130,39,0.01123,0.00846,0.01364,0.02354,0.04061,0.06552
169,50.7,0.0139,0.01064,0.01706,0.0293,0.05055,0.08096
219,65.7,0.01983,0.0145,0.02313,0.03906,0.06616,0.10439
284,85.2,0.02184,0.0161,0.02493,0.04121,0.06782,0.10421
369,110.7,0.01816,0.01428,0.02178,0.03516,0.05674,0.08692
479,143.7,0.01361,0.01108,0.01671,0.02676,0.04361,0.06691
622,186.6,0.00983,0.00797,0.01207,0.01963,0.0323,0.05049
995,298.5,0.00672,0.00416,0.00654,0.01108,0.01895,0.03059
1500,450,0.00529,0.00283,0.00452,0.00786,0.014,0.02336
2000,600,0.00585,0.00263,0.00425,0.00747,0.01343,0.02264
2500,750,0.00661,0.00273,0.00442,0.00776,0.01401,0.02353
3000,900,0.00745,0.00297,0.00481,0.00845,0.01511,0.0256
