Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
777,7.77,0.00667,0.00537,0.00788,0.0125,0.02017,0.03146
804,8.04,0.00652,0.00496,0.00741,0.01177,0.01918,0.02995
832,8.32,0.0061,0.00474,0.00702,0.01123,0.01848,0.02889
861,8.61,0.00618,0.00451,0.00672,0.01079,0.01776,0.02787
891,8.91,0.00591,0.00433,0.00644,0.01035,0.01712,0.02699
922,9.22,0.00631,0.00412,0.00618,0.00996,0.01655,0.0261
955,9.55,0.00882,0.00391,0.00588,0.00952,0.01582,0.02516
989,9.89,0.00746,0.00377,0.00567,0.00918,0.0154,0.02449
1024,10.24,0.00643,0.00359,0.00544,0.00884,0.01483,0.02377
1061,10.61,0.00628,0.00333,0.00505,0.00835,0.01414,0.02284
1100,11,0.00759,0.00316,0.00483,0.00801,0.01369,0.02227
1140,11.4,0.00896,0.00296,0.00458,0.00767,0.01317,0.02149
1182,11.82,0.00693,0.00289,0.00446,0.00747,0.01289,0.02111
1226,12.26,0.00565,0.00272,0.00422,0.00718,0.01244,0.02051
1272,12.72,0.00581,0.00258,0.00403,0.00688,0.0121,0.02004
1320,13.2,0.00532,0.00253,0.00394,0.00674,0.01184,0.01975
1371,13.71,0.00517,0.00242,0.00382,0.00659,0.01164,0.01945
1424,14.24,0.00513,0.00237,0.00374,0.00645,0.01143,0.01915
1479,14.79,0.00511,0.00231,0.00362,0.0063,0.01127,0.01885
1500,15,0.00512,0.00231,0.00365,0.0063,0.01122,0.01884
2000,20,0.00517,0.00196,0.00319,0.00571,0.01049,0.01732
2500,25,0.00541,0.00194,0.00319,0.00576,0.01068,0.01747
3000,30,0.00588,0.00192,0.00326,0.00601,0.01132,0.01821
130,2.6,0.02658,0.02296,0.03541,0.05762,0.09344,0.14199
133,2.66,0.02732,0.02335,0.03601,0.05859,0.09503,0.14505
136,2.72,0.02811,0.02381,0.03673,0.05977,0.09693,0.14795
139,2.78,0.02865,0.02436,0.03757,0.06113,0.09915,0.15065
142,2.84,0.02867,0.0249,0.03841,0.0625,0.10186,0.15423
145,2.9,0.0297,0.0256,0.03949,0.06426,0.10421,0.15836
148,2.96,0.03057,0.02638,0.04069,0.06621,0.10738,0.16243
151,3.02,0.03136,0.02724,0.04202,0.06836,0.11032,0.16824
154,3.08,0.03298,0.02817,0.04346,0.0707,0.11467,0.17346
157,3.14,0.03597,0.02934,0.04526,0.07363,0.11883,0.1804
160,3.2,0.03934,0.03088,0.04737,0.07676,0.12388,0.18806
163,3.26,0.04296,0.03238,0.04966,0.08047,0.12986,0.19625
166,3.32,0.0459,0.03444,0.05252,0.08477,0.1368,0.20578
169,3.38,0.05211,0.03669,0.05565,0.08945,0.14294,0.21554
172,3.44,0.05859,0.03898,0.0588,0.09414,0.15043,0.22578
176,3.52,0.06589,0.04027,0.0612,0.09727,0.15465,0.23072
180,3.6,0.05521,0.03571,0.05446,0.08789,0.14184,0.21337
184,3.68,0.03184,0.02546,0.04013,0.06719,0.11164,0.17245
188,3.76,0.02533,0.02252,0.03616,0.06133,0.10386,0.16261
192,3.84,0.02179,0.02381,0.03824,0.06484,0.10982,0.17193
196,3.92,0.02814,0.02609,0.04164,0.07031,0.11796,0.18311
200,4,0.03129,0.02812,0.04497,0.075,0.12463,0.19332
204,4.08,0.03613,0.0296,0.04666,0.07812,0.12982,0.19969
208,4.16,0.05962,0.03065,0.04842,0.08008,0.13179,0.20248
212,4.24,0.0445,0.0322,0.05025,0.08242,0.13433,0.20429
216,4.32,0.02916,0.03315,0.05114,0.0832,0.1356,0.2044
221,4.42,0.0279,0.03315,0.05153,0.0832,0.13428,0.20199
226,4.52,0.03862,0.03412,0.05243,0.08398,0.1342,0.20142
231,4.62,0.06379,0.03494,0.05309,0.08438,0.13314,0.19775
236,4.72,0.06136,0.03527,0.05301,0.08359,0.13158,0.19384
241,4.82,0.04921,0.03411,0.05128,0.08086,0.12727,0.1875
246,4.92,0.04748,0.03474,0.05204,0.08086,0.1263,0.18563
251,5.02,0.04547,0.03521,0.05183,0.08047,0.12441,0.1822
256,5.12,0.05104,0.03531,0.05146,0.0793,0.1226,0.17862
262,5.24,0.08451,0.03562,0.052,0.0793,0.12165,0.17719
268,5.36,0.11738,0.03588,0.05187,0.07852,0.12014,0.17389
274,5.48,0.12236,0.03425,0.04975,0.07559,0.11566,0.16785
280,5.6,0.12246,0.03439,0.04947,0.07461,0.11357,0.16447
286,5.72,0.07086,0.03405,0.04874,0.07324,0.1109,0.16026
292,5.84,0.06557,0.03278,0.04692,0.07051,0.10704,0.15443
298,5.96,0.07839,0.03196,0.04576,0.06875,0.1041,0.15043
305,6.1,0.09248,0.03113,0.04436,0.06641,0.10029,0.14476
312,6.24,0.07858,0.03003,0.04279,0.06406,0.097,0.13979
319,6.38,0.05008,0.02875,0.04097,0.06133,0.09286,0.13419
326,6.52,0.03778,0.02765,0.03915,0.05898,0.08931,0.12906
333,6.66,0.03243,0.02637,0.03757,0.05625,0.08517,0.12341
340,6.8,0.04158,0.02527,0.03601,0.05391,0.08162,0.11795
348,6.96,0.0545,0.02408,0.03431,0.05137,0.07758,0.11228
356,7.12,0.07712,0.02243,0.03176,0.04785,0.07265,0.10538
364,7.28,0.08702,0.02134,0.03055,0.0459,0.06968,0.10108
372,7.44,0.04908,0.02069,0.0293,0.04414,0.06701,0.09721
380,7.6,0.0362,0.0204,0.02894,0.04316,0.06536,0.09496
388,7.76,0.03179,0.01976,0.02802,0.0418,0.06329,0.09195
397,7.94,0.02708,0.01908,0.02678,0.04004,0.06079,0.08817
406,8.12,0.02414,0.01862,0.02628,0.03906,0.05915,0.08594
415,8.3,0.02032,0.01777,0.02521,0.0376,0.05708,0.08302
424,8.48,0.02643,0.01694,0.02414,0.03613,0.055,0.08008
434,8.68,0.04016,0.01639,0.02321,0.03496,0.05322,0.07748
444,8.88,0.04516,0.01579,0.02236,0.03369,0.05128,0.07507
454,9.08,0.03882,0.01503,0.02151,0.03232,0.04946,0.07216
464,9.28,0.03686,0.01453,0.02067,0.03125,0.04782,0.06995
475,9.5,0.03444,0.01389,0.01976,0.02988,0.04584,0.06748
486,9.72,0.0267,0.01299,0.01865,0.02842,0.04382,0.06462
497,9.94,0.02891,0.01259,0.01808,0.02754,0.04236,0.06257
508,10.16,0.02486,0.01224,0.0175,0.02656,0.04096,0.0604
532,10.64,0.01369,0.01134,0.01628,0.0248,0.03835,0.05674
557,11.14,0.01298,0.01035,0.01494,0.02285,0.03551,0.0529
583,11.66,0.01675,0.0096,0.01377,0.02119,0.0331,0.04951
611,12.22,0.01186,0.00882,0.0127,0.01963,0.03082,0.04638
640,12.8,0.01149,0.0082,0.01182,0.01826,0.02874,0.04339
671,13.42,0.01447,0.00757,0.01095,0.01699,0.02688,0.04063
703,14.06,0.0124,0.00681,0.00996,0.01558,0.02489,0.03806
737,14.74,0.01106,0.00619,0.00914,0.0144,0.02313,0.03557
773,15.46,0.00689,0.00579,0.00855,0.01348,0.02175,0.03362
811,16.22,0.00654,0.00523,0.00781,0.0124,0.02021,0.03156
851,17.02,0.00621,0.00492,0.0073,0.01167,0.01911,0.02986
893,17.86,0.0061,0.00461,0.00687,0.01104,0.01816,0.02838
937,18.74,0.00764,0.00435,0.00648,0.0104,0.01728,0.02726
983,19.66,0.00824,0.00406,0.00604,0.00981,0.01631,0.02593
1032,20.64,0.00671,0.00381,0.00573,0.00928,0.01556,0.02475
1084,21.68,0.00727,0.00346,0.00526,0.00869,0.01472,0.02359
1139,22.78,0.00903,0.00319,0.00489,0.00815,0.01394,0.02259
1197,23.94,0.00668,0.003,0.00464,0.00776,0.0134,0.02177
1258,25.16,0.00598,0.00276,0.00435,0.00737,0.01278,0.02099
1323,26.46,0.00551,0.00266,0.00418,0.00708,0.01244,0.02054
1391,27.82,0.00535,0.0026,0.00406,0.00693,0.01218,0.02018
1463,29.26,0.00531,0.0025,0.00392,0.00674,0.0119,0.01982
1500,30,0.00531,0.00246,0.00388,0.00669,0.01176,0.0196
2000,40,0.00544,0.0021,0.00341,0.0061,0.01107,0.0185
2500,50,0.0058,0.00208,0.00343,0.0062,0.01139,0.0188
3000,60,0.00641,0.00215,0.00363,0.00664,0.01241,0.02013
130,5.2,0.02585,0.02174,0.03393,0.05566,0.09072,0.13797
135,5.4,0.0269,0.02327,0.03589,0.0584,0.09518,0.14475
140,5.6,0.02757,0.02397,0.03697,0.06016,0.09804,0.14911
145,5.8,0.02851,0.0249,0.03841,0.0625,0.10087,0.15452
151,6.04,0.03006,0.02615,0.04033,0.06562,0.10696,0.16266
157,6.28,0.03286,0.02794,0.0431,0.07012,0.11372,0.17279
163,6.52,0.03637,0.03035,0.04682,0.07617,0.12293,0.18747
169,6.76,0.04089,0.03395,0.05207,0.08438,0.13617,0.20672
176,7.04,0.04497,0.03751,0.05786,0.09414,0.15193,0.23064
183,7.32,0.03132,0.02818,0.04526,0.07676,0.12877,0.20153
190,7.6,0.0207,0.02281,0.03753,0.06562,0.11428,0.18223
197,7.88,0.02435,0.02582,0.04219,0.07344,0.12613,0.20054
205,8.2,0.03421,0.02934,0.04773,0.08164,0.13826,0.21818
213,8.52,0.0326,0.03218,0.05135,0.08672,0.14548,0.22583
221,8.84,0.02622,0.03375,0.05341,0.08906,0.14728,0.22546
230,9.2,0.05351,0.03601,0.0562,0.09219,0.14951,0.22616
239,9.56,0.04932,0.03631,0.05611,0.09023,0.14491,0.21673
249,9.96,0.04667,0.0372,0.05653,0.08984,0.14213,0.21074
259,10.36,0.06821,0.03913,0.05789,0.09023,0.14059,0.20697
269,10.76,0.12353,0.03845,0.05699,0.08789,0.13624,0.19919
280,11.2,0.12181,0.03757,0.05512,0.08438,0.12978,0.18971
291,11.64,0.07763,0.03615,0.05277,0.08047,0.12313,0.17916
303,12.12,0.09265,0.03434,0.04988,0.07578,0.11565,0.16811
315,12.6,0.06584,0.03204,0.04654,0.0707,0.1079,0.15685
328,13.12,0.03953,0.02938,0.04268,0.06484,0.09922,0.14399
341,13.64,0.04802,0.02696,0.03872,0.05898,0.09002,0.13085
355,14.2,0.07647,0.02398,0.03484,0.05293,0.08099,0.11816
369,14.76,0.06157,0.02249,0.03231,0.04922,0.07512,0.10948
384,15.36,0.03485,0.02152,0.03095,0.04668,0.07124,0.10356
400,16,0.02714,0.02043,0.02906,0.04395,0.06689,0.09713
416,16.64,0.02445,0.01909,0.02746,0.04141,0.06303,0.09177
433,17.32,0.04079,0.01792,0.02561,0.03887,0.05947,0.08677
451,18.04,0.04459,0.0166,0.02385,0.03633,0.05559,0.08153
469,18.76,0.03812,0.0154,0.02237,0.03398,0.05227,0.07661
488,19.52,0.02918,0.01417,0.02055,0.03154,0.04877,0.07179
508,20.32,0.02445,0.01341,0.01935,0.02959,0.04575,0.06752
550,22,0.01373,0.01171,0.01699,0.02607,0.04062,0.06026
596,23.84,0.0173,0.01027,0.01489,0.02285,0.03579,0.05343
646,25.84,0.01385,0.00896,0.01306,0.02012,0.03166,0.04757
700,28,0.01289,0.00769,0.01132,0.01758,0.02795,0.04249
759,30.36,0.00799,0.00661,0.00976,0.01538,0.02458,0.03775
823,32.92,0.00651,0.00569,0.00849,0.01348,0.02196,0.034
893,35.72,0.00646,0.00513,0.0076,0.01216,0.01982,0.03094
969,38.76,0.00885,0.00457,0.00681,0.01094,0.018,0.02837
1052,42.08,0.00737,0.00407,0.00612,0.00991,0.01647,0.02619
1142,45.68,0.00918,0.00351,0.00536,0.00889,0.01505,0.02422
1240,49.6,0.00654,0.00312,0.00485,0.00815,0.014,0.02277
1347,53.88,0.00581,0.00293,0.00456,0.00767,0.01329,0.02182
1464,58.56,0.00564,0.00276,0.00435,0.00737,0.01284,0.02115
1500,60,0.00562,0.00269,0.0042,0.00718,0.01261,0.02089
2000,80,0.0059,0.00238,0.00383,0.00669,0.01208,0.02028
2500,100,0.00639,0.00243,0.00392,0.00698,0.01272,0.02117
3000,120,0.00723,0.00261,0.00434,0.00776,0.01426,0.02354
130,7.8,0.02584,0.02265,0.03493,0.05684,0.09218,0.14006
137,8.22,0.02676,0.02342,0.03613,0.05879,0.09535,0.14553
145,8.7,0.02798,0.02459,0.03793,0.06172,0.10059,0.15298
153,9.18,0.02993,0.0263,0.04057,0.06602,0.10707,0.16269
162,9.72,0.03338,0.0291,0.0449,0.07305,0.11847,0.18001
171,10.26,0.03709,0.03346,0.05162,0.08398,0.13621,0.2079
181,10.86,0.03206,0.03149,0.05036,0.08398,0.14022,0.2167
192,11.52,0.02063,0.02471,0.04092,0.07188,0.12516,0.20032
203,12.18,0.0277,0.02939,0.04802,0.08359,0.14424,0.22928
215,12.9,0.02696,0.03363,0.05436,0.09258,0.15679,0.24351
228,13.68,0.0377,0.037,0.0588,0.09766,0.16072,0.24693
241,14.46,0.04604,0.03837,0.05954,0.09727,0.15697,0.2383
255,15.3,0.05699,0.04011,0.06095,0.09688,0.15364,0.22852
270,16.2,0.12149,0.04042,0.06043,0.09492,0.14827,0.21791
286,17.16,0.09353,0.03896,0.05736,0.08906,0.1377,0.20166
303,18.18,0.09013,0.03618,0.05273,0.08125,0.12497,0.18268
321,19.26,0.05103,0.03218,0.0469,0.07227,0.11115,0.16248
340,20.4,0.04983,0.02783,0.04083,0.0625,0.09613,0.14052
360,21.6,0.07585,0.0243,0.03524,0.0541,0.08343,0.12207
382,22.92,0.03641,0.02257,0.03278,0.0498,0.07621,0.11118
405,24.3,0.02685,0.02098,0.03032,0.0459,0.07023,0.10219
429,25.74,0.03801,0.01903,0.02764,0.04199,0.06459,0.09441
455,27.3,0.04311,0.01696,0.02488,0.03809,0.05858,0.08608
482,28.92,0.03189,0.01544,0.02265,0.03467,0.0536,0.0789
511,30.66,0.02245,0.01421,0.02061,0.03164,0.04905,0.07226
573,34.38,0.01496,0.01179,0.01718,0.02646,0.04123,0.06131
643,38.58,0.01361,0.00978,0.01426,0.02197,0.0345,0.05192
722,43.32,0.01269,0.0079,0.01156,0.01807,0.02872,0.04367
811,48.66,0.00678,0.00634,0.00941,0.01489,0.02403,0.03682
911,54.66,0.00713,0.00538,0.00802,0.01274,0.02077,0.03229
1024,61.44,0.00789,0.00459,0.00684,0.01099,0.01808,0.0285
1151,69.06,0.00921,0.00375,0.00575,0.00942,0.01588,0.02546
1294,77.64,0.00651,0.00327,0.00505,0.00845,0.01444,0.02349
1455,87.3,0.00596,0.00303,0.00471,0.00791,0.01365,0.02235
1500,90,0.00593,0.00292,0.00453,0.00771,0.01343,0.02213
2000,120,0.00627,0.00261,0.00418,0.00728,0.01296,0.02177
2500,150,0.00687,0.00274,0.00441,0.00771,0.0138,0.02323
3000,180,0.0079,0.00306,0.00498,0.00879,0.0158,0.02664
130,10.4,0.0256,0.02265,0.03493,0.05684,0.09172,0.14051
140,11.2,0.02684,0.02374,0.03661,0.05957,0.09661,0.14746
151,12.08,0.02879,0.0256,0.03949,0.06426,0.10421,0.15907
163,13.04,0.03216,0.02895,0.04466,0.07266,0.11841,0.18009
176,14.08,0.03333,0.03342,0.05215,0.08555,0.13942,0.21393
190,15.2,0.02113,0.02623,0.04286,0.07461,0.12993,0.20718
205,16.4,0.02763,0.03104,0.05116,0.08828,0.15233,0.24214
221,17.68,0.02669,0.03629,0.05828,0.09883,0.1658,0.25737
238,19.04,0.04441,0.03958,0.06213,0.10234,0.1668,0.25367
257,20.56,0.0646,0.04254,0.06417,0.10273,0.16293,0.2435
277,22.16,0.11421,0.0407,0.06119,0.09648,0.1511,0.22336
299,23.92,0.08608,0.03743,0.05539,0.08633,0.13381,0.19665
323,25.84,0.05003,0.03247,0.04813,0.07422,0.11445,0.16746
349,27.92,0.06125,0.02623,0.03888,0.05996,0.09294,0.13624
377,30.16,0.0409,0.02331,0.0342,0.05234,0.08072,0.11811
407,32.56,0.0282,0.02151,0.03104,0.04746,0.07281,0.10605
439,35.12,0.04418,0.01896,0.02782,0.04258,0.06549,0.09573
474,37.92,0.03511,0.01679,0.02446,0.0377,0.05828,0.08557
512,40.96,0.02148,0.01487,0.02168,0.0334,0.05164,0.0764
595,47.6,0.01589,0.01179,0.01718,0.02646,0.04134,0.06121
691,55.28,0.01347,0.00922,0.01351,0.0209,0.03289,0.04942
803,64.24,0.00704,0.00692,0.01023,0.01611,0.02575,0.03937
933,74.64,0.0081,0.00552,0.00824,0.01309,0.02133,0.03301
1085,86.8,0.0089,0.00441,0.00663,0.01074,0.01785,0.02815
1262,100.96,0.00713,0.0036,0.0055,0.00913,0.01546,0.02498
1468,117.44,0.0062,0.00316,0.00491,0.00825,0.01424,0.02331
1500,120,0.00621,0.00319,0.00493,0.00825,0.01424,0.02314
2000,160,0.0066,0.00287,0.00453,0.00781,0.01379,0.0229
2500,200,0.0073,0.00303,0.00482,0.00835,0.01481,0.02481
3000,240,0.00846,0.00349,0.00558,0.00972,0.01715,0.02848
130,13,0.02544,0.02257,0.03481,0.05664,0.09186,0.14021
143,14.3,0.02699,0.02412,0.03721,0.06055,0.09771,0.14969
157,15.7,0.02963,0.02677,0.0413,0.06719,0.1095,0.16653
172,17.2,0.03176,0.03159,0.04902,0.08008,0.13051,0.19848
189,18.9,0.0217,0.02712,0.04471,0.07715,0.1325,0.20987
208,20.8,0.0268,0.03291,0.05389,0.09258,0.15826,0.24974
228,22.8,0.03378,0.03867,0.06133,0.10312,0.17136,0.26359
250,25,0.04999,0.04156,0.0641,0.1043,0.16832,0.2532
275,27.5,0.10259,0.04131,0.06243,0.09883,0.15595,0.23162
302,30.2,0.07891,0.03676,0.05467,0.08555,0.13363,0.19639
332,33.2,0.04801,0.02954,0.04394,0.06875,0.10739,0.15783
365,36.5,0.05345,0.02444,0.03598,0.05586,0.08681,0.12736
401,40.1,0.0296,0.02209,0.0322,0.04961,0.0763,0.11154
441,44.1,0.04304,0.0194,0.02846,0.04355,0.06734,0.09862
485,48.5,0.02997,0.01668,0.02443,0.03779,0.05843,0.08602
533,53.3,0.01599,0.01461,0.02129,0.03281,0.05099,0.07519
640,64,0.01384,0.01105,0.0161,0.0248,0.03875,0.05795
769,76.9,0.00819,0.0078,0.01153,0.01816,0.02888,0.04391
924,92.4,0.00797,0.0059,0.00877,0.01387,0.02249,0.03464
1111,111.1,0.0094,0.00442,0.0067,0.01089,0.01809,0.02854
1336,133.6,0.00676,0.00359,0.00555,0.00918,0.01555,0.02511
1500,150,0.00645,0.0034,0.00522,0.00869,0.01486,0.02417
2000,200,0.00687,0.00311,0.00486,0.0083,0.01452,0.02399
2500,250,0.00769,0.00332,0.00524,0.00903,0.0158,0.0261
3000,300,0.00892,0.00385,0.00614,0.0105,0.01837,0.03012
130,15.6,0.02529,0.02257,0.03481,0.05664,0.09186,0.13958
145,17.4,0.027,0.02436,0.03757,0.06113,0.09866,0.15114
162,19.44,0.02972,0.02802,0.04322,0.07031,0.11403,0.17328
181,21.72,0.02611,0.03003,0.04762,0.08008,0.13306,0.2064
202,24.24,0.02376,0.0311,0.05093,0.0875,0.14958,0.23786
226,27.12,0.03078,0.03853,0.0611,0.10273,0.17071,0.2648
253,30.36,0.05397,0.04156,0.0641,0.1043,0.16832,0.2532
283,33.96,0.08723,0.03967,0.05996,0.09492,0.14978,0.22247
317,38.04,0.05557,0.0323,0.04855,0.07656,0.1202,0.17739
355,42.6,0.05494,0.02534,0.0377,0.05898,0.09214,0.13643
397,47.64,0.03067,0.0223,0.03306,0.05098,0.07881,0.11543
444,53.28,0.04132,0.01948,0.02873,0.04414,0.06842,0.10055
497,59.64,0.02507,0.01641,0.02415,0.0375,0.05813,0.08586
556,66.72,0.01499,0.0141,0.02065,0.03193,0.04963,0.07355
690,82.8,0.01331,0.00995,0.01465,0.02275,0.03572,0.05376
857,102.84,0.00714,0.00686,0.01013,0.01597,0.02564,0.03942
1064,127.68,0.00904,0.00497,0.00745,0.01201,0.01977,0.0309
1322,158.64,0.0071,0.00383,0.00582,0.00962,0.01629,0.02611
1500,180,0.00666,0.00355,0.00545,0.00908,0.01553,0.02507
2000,240,0.00714,0.00333,0.00521,0.00879,0.01524,0.02502
2500,300,0.00802,0.00363,0.00567,0.00957,0.01667,0.02735
3000,360,0.00931,0.0043,0.00668,0.01123,0.01938,0.0315
130,18.2,0.02515,0.02257,0.03481,0.05664,0.09141,0.14003
148,20.72,0.02711,0.02475,0.03817,0.06211,0.10073,0.15306
168,23.52,0.0291,0.02942,0.04538,0.07383,0.12032,0.18299
191,26.74,0.02171,0.02864,0.04658,0.07969,0.13496,0.21296
217,30.38,0.0257,0.036,0.05781,0.09805,0.16449,0.25533
247,34.58,0.04541,0.04059,0.06334,0.10391,0.16852,0.25491
281,39.34,0.08087,0.03914,0.05905,0.09453,0.14992,0.22191
320,44.8,0.05142,0.03115,0.04682,0.07383,0.1165,0.17303
364,50.96,0.04621,0.02442,0.03632,0.05684,0.08901,0.13157
415,58.1,0.03288,0.02136,0.03166,0.04883,0.07569,0.11123
473,66.22,0.03212,0.01803,0.02654,0.04121,0.06388,0.09388
539,75.46,0.01583,0.01504,0.02214,0.03438,0.05342,0.07878
690,96.6,0.01308,0.01035,0.01515,0.02344,0.03689,0.05542
884,123.76,0.00754,0.0068,0.00997,0.01582,0.02541,0.03906
1133,158.62,0.00948,0.00464,0.00703,0.01143,0.01899,0.02994
1453,203.42,0.00689,0.00381,0.00579,0.00957,0.01621,0.02608
1500,210,0.00686,0.00375,0.0057,0.00942,0.01604,0.0259
2000,280,0.00741,0.00353,0.00549,0.00923,0.01592,0.02598
2500,350,0.00833,0.00387,0.00601,0.01011,0.01744,0.02855
3000,420,0.00964,0.00461,0.00712,0.01191,0.02037,0.03276
130,20.8,0.02502,0.02257,0.03481,0.05664,0.09141,0.1394
150,24,0.02703,0.02498,0.03853,0.0627,0.10168,0.1552
174,27.84,0.02714,0.02968,0.04632,0.07598,0.12443,0.19023
201,32.16,0.02288,0.03122,0.05046,0.08594,0.14554,0.22786
233,37.28,0.03446,0.03888,0.06092,0.10156,0.16715,0.2546
270,43.2,0.07186,0.03936,0.06003,0.09688,0.1548,0.23233
313,50.08,0.05425,0.03154,0.04793,0.07617,0.1202,0.17852
363,58.08,0.04386,0.02451,0.03645,0.05703,0.08954,0.13214
421,67.36,0.03445,0.02119,0.0312,0.04844,0.07527,0.11044
488,78.08,0.02605,0.01752,0.02579,0.04004,0.06222,0.09176
566,90.56,0.01521,0.01444,0.02115,0.03271,0.05097,0.07542
748,119.68,0.00964,0.0091,0.01347,0.021,0.0333,0.05024
988,158.08,0.00892,0.00597,0.00886,0.01401,0.02284,0.0352
1306,208.96,0.00765,0.00416,0.00637,0.01045,0.01753,0.02788
1500,240,0.00705,0.00391,0.00594,0.00981,0.01662,0.02664
2000,320,0.00764,0.00376,0.00577,0.00962,0.01652,0.02686
2500,400,0.0086,0.00416,0.00639,0.01064,0.0182,0.02949
3000,480,0.00996,0.00493,0.00756,0.0125,0.02117,0.03393
130,23.4,0.02489,0.02249,0.03483,0.05645,0.09199,0.13929
153,27.54,0.02696,0.02545,0.03925,0.06387,0.10358,0.15739
180,32.4,0.02444,0.02916,0.04605,0.07617,0.12657,0.19469
212,38.16,0.02447,0.03421,0.05459,0.09219,0.15392,0.23885
250,45,0.04579,0.03899,0.06049,0.09883,0.16028,0.24245
295,53.1,0.06193,0.03413,0.05215,0.0832,0.13196,0.19721
348,62.64,0.04557,0.02546,0.03827,0.06035,0.09523,0.14145
410,73.8,0.03221,0.02188,0.0322,0.05,0.0779,0.11468
483,86.94,0.02658,0.01787,0.02644,0.04121,0.06404,0.09444
570,102.6,0.01516,0.01444,0.0214,0.03301,0.05143,0.07609
776,139.68,0.0085,0.00869,0.01292,0.02021,0.03214,0.04841
1056,190.08,0.00932,0.00553,0.00824,0.01323,0.02157,0.03367
1438,258.84,0.0073,0.00413,0.00628,0.01025,0.01728,0.0276
1500,270,0.00734,0.00383,0.00591,0.01001,0.01727,0.02848
2000,360,0.00782,0.00391,0.00605,0.01001,0.01711,0.02763
2500,450,0.00884,0.00437,0.00673,0.01108,0.01886,0.03034
3000,540,0.01021,0.00525,0.00792,0.01304,0.02187,0.03478
130,26,0.02476,0.02249,0.03469,0.05645,0.09154,0.13973
156,31.2,0.02676,0.02584,0.03985,0.06484,0.10517,0.16052
187,37.4,0.02243,0.02886,0.04577,0.07695,0.12849,0.19856
224,44.8,0.02824,0.03597,0.05669,0.09492,0.15622,0.24002
268,53.6,0.05949,0.03745,0.05712,0.09219,0.14804,0.22142
321,64.2,0.04627,0.02863,0.0435,0.06914,0.10993,0.16401
385,77,0.03269,0.02283,0.03395,0.05312,0.08341,0.12309
462,92.4,0.03096,0.01905,0.02819,0.04395,0.06829,0.10071
554,110.8,0.0154,0.01525,0.02245,0.03486,0.05432,0.08037
776,155.2,0.0086,0.00893,0.01313,0.02061,0.03276,0.04934
1087,217.4,0.00953,0.00542,0.00811,0.01309,0.02143,0.03334
1500,300,0.0074,0.0042,0.00635,0.01045,0.01753,0.0281
2000,400,0.00802,0.00414,0.00629,0.0104,0.01761,0.02845
2500,500,0.00906,0.00461,0.007,0.01157,0.01951,0.03139
3000,600,0.01043,0.00549,0.00832,0.01353,0.02247,0.03574
130,28.6,0.02464,0.02249,0.03469,0.05645,0.09154,0.1391
158,34.76,0.0264,0.02607,0.04021,0.06543,0.10612,0.16197
192,42.24,0.02206,0.0293,0.04646,0.07812,0.13044,0.20158
234,51.48,0.03287,0.03625,0.05692,0.09375,0.15279,0.23444
285,62.7,0.05676,0.03348,0.05145,0.08242,0.13236,0.19796
347,76.34,0.04135,0.02482,0.03751,0.05938,0.09417,0.14073
423,93.06,0.03277,0.02081,0.03117,0.04844,0.07566,0.11204
516,113.52,0.01832,0.01688,0.02484,0.03857,0.0601,0.0887
743,163.46,0.00984,0.00978,0.01437,0.02256,0.0356,0.05364
1071,235.62,0.00948,0.00567,0.00845,0.01357,0.02212,0.03454
1500,330,0.00755,0.00432,0.00658,0.01074,0.01802,0.02866
2000,440,0.0082,0.00428,0.00655,0.01074,0.01819,0.02916
2500,550,0.00925,0.00486,0.0073,0.01196,0.02007,0.03217
3000,660,0.01061,0.00576,0.00863,0.01392,0.02301,0.03644
130,31.2,0.02452,0.02249,0.03469,0.05645,0.09154,0.1391
161,38.64,0.02594,0.02646,0.04081,0.06641,0.1077,0.16439
199,47.76,0.02243,0.03018,0.04825,0.08047,0.13371,0.20741
246,59.04,0.03893,0.03575,0.05547,0.09062,0.1477,0.22263
305,73.2,0.04741,0.02964,0.04496,0.07227,0.11547,0.17331
378,90.72,0.03275,0.02279,0.03407,0.05352,0.08445,0.12542
468,112.32,0.02711,0.01871,0.02784,0.04355,0.06786,0.1004
580,139.2,0.01473,0.01461,0.02151,0.0334,0.05217,0.07725
859,206.16,0.00808,0.00787,0.01162,0.01831,0.02926,0.04474
1272,305.28,0.00839,0.0048,0.00727,0.01182,0.01964,0.03097
1500,360,0.00769,0.00446,0.00676,0.01099,0.01843,0.02931
2000,480,0.00835,0.00446,0.00679,0.01108,0.01868,0.02983
2500,600,0.00943,0.00502,0.0076,0.01235,0.02063,0.03293
3000,720,0.01077,0.006,0.00894,0.01436,0.02363,0.03724
130,33.8,0.0244,0.02249,0.03469,0.05645,0.09109,0.13892
163,42.38,0.02538,0.02654,0.04093,0.0666,0.10855,0.16508
205,53.3,0.02312,0.03125,0.04897,0.08164,0.13566,0.20867
258,67.08,0.0445,0.03424,0.05282,0.08594,0.13869,0.21055
325,84.5,0.04083,0.02653,0.04002,0.06406,0.10186,0.15269
409,106.34,0.0306,0.02112,0.03158,0.04961,0.07789,0.11494
515,133.9,0.01799,0.01709,0.02516,0.03906,0.06102,0.09035
783,203.58,0.00868,0.00915,0.01361,0.02129,0.03385,0.05098
